25:Rides|Ride Edge
26:Rides|Ride Choke
28:Perc|Perc 4 Head
29:Perc|Perc 4 Rim
30:Hats|HH Pedal Splash
31:Hats|HH Shank Closed
32:Hats|HH Shank Open/Var
33:Perc|Perc 1 Rim
34:Cymbals|Crash Choke
35:Kicks|Kick Rim
36:Kicks|Kick Head
37:Snares|Cross Stick
38:Snares|Snare Head
39:Other|Elec. Clap
40:Snares|Snare Rim
41:Toms|Tom 3 Rim
42:Hats|HH Bow Closed
43:Toms|Tom 3 Head
44:Hats|HH Pedal Chick
45:Toms|Tom 2 Head
46:Hats|HH Bow Open/Var
47:Toms|Tom 1 Head
48:Toms|Tom 2 Rim
49:Cymbals|Crash 1 Bow
50:Toms|Tom 1 Rim
51:Rides|Ride Bow
52:Cymbals|China
53:Rides|Ride Bell
54:Perc|Tambourine Open
55:Cymbals|Splash
56:Perc|Cowbell 2
57:Cymbals|Crash 1 Rim
58:Perc|Vibraslap
59:Perc|Perc 1 Head
60:Perc|Perc 2 Head
61:Perc|Perc 2 Rim
62:Perc|Conga Hi Mute
63:Perc|Perc 3 Head
64:Perc|Perc 3 Rim
65:Perc|Timbale Hi
66:Perc|Timbale Low
67:Perc|Agogo Hi
68:Perc|Agogo Lo
69:Perc|Cabasa
70:Perc|Maracas
71:Perc|Whistle Short
72:Perc|Whistle Long
73:Perc|Guiro Short
74:Perc|Guiro Long
75:Perc|Claves
76:Perc|Temple Block
77:Perc|Wood Block
78:Perc|Cuica Down
79:Perc|Cuica Up
80:Perc|Triangle Muted
81:Perc|Triangle Open
82:Perc|Djembe
83:Perc|Doumbek
84:Perc|Finger Cymbals
85:Perc|Flexatone
86:Perc|Gong
87:Perc|Pandiero Mute
88:Perc|Pandiero Open
89:Cymbals|Orchestral Crash
90:Perc|Reco Reco
91:Perc|Timpani
